,year,quarter,location,economic activity,micro enterprises,small enterprises,medium enterprises,large enterprises,total number of enterprises
958,2022,1,Northern Border Region Office,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,13,10,0,0,23
959,2022,1,Northern Border Region Office,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,109,31,1,0,141
960,2022,1,Northern Border Region Office,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,8,2,0,0,10
961,2022,1,Northern Border Region Office,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,11,3,0,0,14
962,2022,1,Northern Border Region Office,أنشطة المنظمات ذات العضوية,9,1,0,0,10
963,2022,1,Northern Border Region Office,أنشطة تقديم الخدمات للمباني وتجميل المواقع,109,17,0,0,126
964,2022,1,Northern Border Region Office,أنشطة خدمات الأطعمة والمشروبات,784,138,3,0,925
965,2022,1,Northern Border Region Office,أنشطة خدمات المعلومات,1,2,0,0,3
966,2022,1,Northern Border Region Office,أنشطة خدمات دعم التعدين,1,1,0,0,2
967,2022,1,Northern Border Region Office,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,107,4,0,0,111
968,2022,1,Northern Border Region Office,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,5,1,0,0,6
969,2022,1,Northern Border Region Office,الإقامة,21,11,1,0,33
970,2022,1,Northern Border Region Office,الأنشطة الإبداعية والفنون وأنشطة الترفيه,3,0,0,0,3
971,2022,1,Northern Border Region Office,الأنشطة الأخرى للتعدين واستغلال المحاجر,3,1,0,1,5
972,2022,1,Northern Border Region Office,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,31,0,0,0,31
973,2022,1,Northern Border Region Office,الأنشطة الإيجارية,205,6,0,0,211
974,2022,1,Northern Border Region Office,الأنشطة البيطرية,6,1,0,0,7
975,2022,1,Northern Border Region Office,الأنشطة الرياضية وأنشطة التسلية والترفيه,28,7,0,0,35
976,2022,1,Northern Border Region Office,الأنشطة العقارية,26,3,0,0,29
977,2022,1,Northern Border Region Office,الأنشطة القانونية وأنشطة المحاسبة,5,0,0,0,5
978,2022,1,Northern Border Region Office,الأنشطة المهنية والعلمية والتقنية الأخرى,5,1,0,0,6
979,2022,1,Northern Border Region Office,الاتصالات,6,1,0,0,7
980,2022,1,Northern Border Region Office,التخزين وأنشطة الدعم للنقل,24,5,1,0,30
981,2022,1,Northern Border Region Office,التعليم,13,20,4,0,37
982,2022,1,Northern Border Region Office,الرعاية مع الإقامة,3,1,0,0,4
983,2022,1,Northern Border Region Office,الصحة البشرية,17,23,2,0,42
984,2022,1,Northern Border Region Office,الصناعة التحويلية الأخرى,4,1,0,0,5
985,2022,1,Northern Border Region Office,الطباعة واستنساخ وسائط الأعلام المسجّلة,10,2,0,0,12
986,2022,1,Northern Border Region Office,النقل البري و النقل عبر الأنابيب,311,38,0,0,349
987,2022,1,Northern Border Region Office,النقل الجوي,1,2,0,1,4
988,2022,1,Northern Border Region Office,النقل المائي,3,0,0,0,3
989,2022,1,Northern Border Region Office,الهندسة المدنية,8,0,0,0,8
990,2022,1,Northern Border Region Office,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,804,109,10,0,923
991,2022,1,Northern Border Region Office,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,215,32,1,0,248
992,2022,1,Northern Border Region Office,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,424,62,1,0,487
993,2022,1,Northern Border Region Office,تجميع المياه ومعالجتها وتوصيلها,8,4,0,0,12
994,2022,1,Northern Border Region Office,تشييد المباني,1194,224,21,4,1443
995,2022,1,Northern Border Region Office,تعدين ركازات الفلزات,8,0,0,0,8
996,2022,1,Northern Border Region Office,توصيل الكهرباء والغاز والبخار وتكييف الهواء,3,1,0,0,4
997,2022,1,Northern Border Region Office,صناعة الآلات والمعدات غير المصنفة في موضع أخر,7,0,0,0,7
998,2022,1,Northern Border Region Office,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,11,1,0,0,12
999,2022,1,Northern Border Region Office,صناعة معدات النقل الأخرى,3,1,0,0,4
1000,2022,1,Northern Border Region Office,صنع الأثاث,45,8,0,0,53
1001,2022,1,Northern Border Region Office,صنع الحواسيب والمنتجات الإلكترونية والبصرية,13,4,0,0,17
1002,2022,1,Northern Border Region Office,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,38,5,0,0,43
1003,2022,1,Northern Border Region Office,صنع الفلزات القاعدية,22,6,0,0,28
1004,2022,1,Northern Border Region Office,صُنع المشروبات,2,3,0,0,5
1005,2022,1,Northern Border Region Office,صنع المعدات الكهربائية,39,5,0,0,44
1006,2022,1,Northern Border Region Office,صُنع الملبوسات,213,12,1,0,226
1007,2022,1,Northern Border Region Office,صُنع المنتجات الجلدية والمنتجات ذات الصلة,5,1,0,0,6
1008,2022,1,Northern Border Region Office,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,0,1,0,0,1
1009,2022,1,Northern Border Region Office,صُنع المنتجات الغذائية,111,30,0,0,141
1010,2022,1,Northern Border Region Office,صُنع المنسوجات,21,1,0,0,22
1011,2022,1,Northern Border Region Office,صُنع المواد الكيميائية والمنتجات الكيميائية,13,1,0,0,14
1012,2022,1,Northern Border Region Office,صُنع الورق ومنتجات الورق,1,1,0,0,2
1013,2022,1,Northern Border Region Office,صنع فحم الكوك والمنتجات النفطية المكررة,1,0,0,0,1
1014,2022,1,Northern Border Region Office,صنع منتجات المطاط واللدائن,1,3,0,0,4
1015,2022,1,Northern Border Region Office,صنع منتجات المعادن اللافلزية الأخرى,35,13,0,1,49
1016,2022,1,Northern Border Region Office,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),52,3,0,0,55
1017,2022,1,Northern Border Region Office,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,1,2,0,0,3
1018,2022,1,Riyadh Region Office,أبحاث الإعلان والسوق,442,110,0,0,552
1019,2022,1,Riyadh Region Office,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,833,188,28,7,1056
1020,2022,1,Riyadh Region Office,إصلاح وتركيب الآلات والمعدات,491,95,9,5,600
1021,2022,1,Riyadh Region Office,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,191,85,4,3,283
1022,2022,1,Riyadh Region Office,أنشطة الأمن والتحقيقات,91,42,19,10,162
1023,2022,1,Riyadh Region Office,أنشطة الاستخدام,412,91,16,24,543
1024,2022,1,Riyadh Region Office,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,13,1,0,0,14
1025,2022,1,Riyadh Region Office,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,806,393,48,9,1256
1026,2022,1,Riyadh Region Office,أنشطة البرمجة والإذاعة,11,1,0,0,12
1027,2022,1,Riyadh Region Office,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,132,26,6,0,164
1028,2022,1,Riyadh Region Office,أنشطة التشييد المتخصصة,9619,3174,323,50,13166
1029,2022,1,Riyadh Region Office,أنشطة الخدمات الشخصية الأخرى,5750,1476,127,37,7390
1030,2022,1,Riyadh Region Office,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,253,110,14,12,389
1031,2022,1,Riyadh Region Office,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,164,155,25,1,345
1032,2022,1,Riyadh Region Office,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,8,1,1,0,10
1033,2022,1,Riyadh Region Office,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,658,408,88,20,1174
1034,2022,1,Riyadh Region Office,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,889,319,33,8,1249
1035,2022,1,Riyadh Region Office,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,100,43,2,0,145
1036,2022,1,Riyadh Region Office,أنشطة المنظمات الدولية,6,4,1,0,11
1037,2022,1,Riyadh Region Office,أنشطة المنظمات ذات العضوية,177,47,3,0,227
1038,2022,1,Riyadh Region Office,أنشطة النشر,182,66,5,1,254
1039,2022,1,Riyadh Region Office,أنشطة تقديم الخدمات للمباني وتجميل المواقع,5549,3143,580,118,9390
1040,2022,1,Riyadh Region Office,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,26,7,4,4,41
1041,2022,1,Riyadh Region Office,أنشطة خدمات الأطعمة والمشروبات,8976,3318,424,76,12794
1042,2022,1,Riyadh Region Office,أنشطة خدمات المعلومات,232,89,9,2,332
1043,2022,1,Riyadh Region Office,أنشطة خدمات دعم التعدين,74,36,8,2,120
1044,2022,1,Riyadh Region Office,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,2529,291,87,15,2922
1045,2022,1,Riyadh Region Office,استخراج النفط الخام والغاز الطبيعي,3,0,0,0,3
1046,2022,1,Riyadh Region Office,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,341,215,46,15,617
1047,2022,1,Riyadh Region Office,الإقامة,560,321,81,9,971
1048,2022,1,Riyadh Region Office,الأنشطة الإبداعية والفنون وأنشطة الترفيه,103,23,4,1,131
1049,2022,1,Riyadh Region Office,الأنشطة الأخرى للتعدين واستغلال المحاجر,110,56,14,3,183
1050,2022,1,Riyadh Region Office,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,716,120,14,3,853
1051,2022,1,Riyadh Region Office,الأنشطة الإيجارية,51626,1046,41,3,52716
1052,2022,1,Riyadh Region Office,الأنشطة البيطرية,45,45,4,0,94
1053,2022,1,Riyadh Region Office,الأنشطة الرياضية وأنشطة التسلية والترفيه,469,164,19,5,657
1054,2022,1,Riyadh Region Office,الأنشطة العقارية,1122,452,67,8,1649
1055,2022,1,Riyadh Region Office,الأنشطة القانونية وأنشطة المحاسبة,482,195,11,2,690
1056,2022,1,Riyadh Region Office,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,77,76,14,2,169
1057,2022,1,Riyadh Region Office,الأنشطة المهنية والعلمية والتقنية الأخرى,352,49,3,0,404
1058,2022,1,Riyadh Region Office,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,2,0,0,0,2
1059,2022,1,Riyadh Region Office,الاتصالات,372,164,22,13,571
1060,2022,1,Riyadh Region Office,البحث والتطوير في المجال العلمي,27,9,1,1,38
1061,2022,1,Riyadh Region Office,التخزين وأنشطة الدعم للنقل,827,234,51,17,1129
1062,2022,1,Riyadh Region Office,التعليم,682,402,165,47,1296
1063,2022,1,Riyadh Region Office,الحراجة وقطع الأخشاب,5,5,2,0,12
1064,2022,1,Riyadh Region Office,الرعاية مع الإقامة,35,19,1,0,55
1065,2022,1,Riyadh Region Office,الصحة البشرية,441,609,191,59,1300
1066,2022,1,Riyadh Region Office,الصرف الصحي,34,16,3,2,55
1067,2022,1,Riyadh Region Office,الصناعة التحويلية الأخرى,171,96,18,4,289
1068,2022,1,Riyadh Region Office,الطباعة واستنساخ وسائط الأعلام المسجّلة,329,205,22,6,562
1069,2022,1,Riyadh Region Office,النقل البري و النقل عبر الأنابيب,8567,650,72,16,9305
1070,2022,1,Riyadh Region Office,النقل الجوي,281,74,35,18,408
1071,2022,1,Riyadh Region Office,النقل المائي,86,17,3,0,106
1072,2022,1,Riyadh Region Office,الهندسة المدنية,254,89,24,7,374
1073,2022,1,Riyadh Region Office,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,18228,5820,781,147,24976
1074,2022,1,Riyadh Region Office,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,10998,5376,773,189,17336
1075,2022,1,Riyadh Region Office,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,6306,1503,70,8,7887
1076,2022,1,Riyadh Region Office,تجميع المياه ومعالجتها وتوصيلها,100,30,7,0,137
1077,2022,1,Riyadh Region Office,تشييد المباني,10456,4678,1015,355,16504
1078,2022,1,Riyadh Region Office,تعدين الفحم والليغنيت,6,1,1,0,8
1079,2022,1,Riyadh Region Office,تعدين ركازات الفلزات,49,39,0,1,89
1080,2022,1,Riyadh Region Office,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,52,52,17,8,129
1081,2022,1,Riyadh Region Office,توصيل الكهرباء والغاز والبخار وتكييف الهواء,93,70,23,16,202
1082,2022,1,Riyadh Region Office,صناعة الآلات والمعدات غير المصنفة في موضع أخر,160,52,9,2,223
1083,2022,1,Riyadh Region Office,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,90,58,3,1,152
1084,2022,1,Riyadh Region Office,صناعة معدات النقل الأخرى,109,48,8,1,166
1085,2022,1,Riyadh Region Office,صنع الأثاث,824,383,37,4,1248
1086,2022,1,Riyadh Region Office,صنع الحواسيب والمنتجات الإلكترونية والبصرية,253,128,30,8,419
1087,2022,1,Riyadh Region Office,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,667,236,35,9,947
1088,2022,1,Riyadh Region Office,صنع الفلزات القاعدية,478,282,73,17,850
1089,2022,1,Riyadh Region Office,صُنع المشروبات,62,35,17,6,120
1090,2022,1,Riyadh Region Office,صنع المعدات الكهربائية,221,122,27,6,376
1091,2022,1,Riyadh Region Office,صُنع الملبوسات,2035,458,25,1,2519
1092,2022,1,Riyadh Region Office,صُنع المنتجات الجلدية والمنتجات ذات الصلة,63,16,1,0,80
1093,2022,1,Riyadh Region Office,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,50,25,4,0,79
1094,2022,1,Riyadh Region Office,صُنع المنتجات الغذائية,1210,511,75,26,1822
1095,2022,1,Riyadh Region Office,صُنع المنسوجات,174,76,13,9,272
1096,2022,1,Riyadh Region Office,صُنع المواد الكيميائية والمنتجات الكيميائية,361,204,32,2,599
1097,2022,1,Riyadh Region Office,صُنع الورق ومنتجات الورق,67,49,8,0,124
1098,2022,1,Riyadh Region Office,صنع فحم الكوك والمنتجات النفطية المكررة,25,12,1,0,38
1099,2022,1,Riyadh Region Office,صُنع منتجات التبغ,1,0,0,0,1
1100,2022,1,Riyadh Region Office,صنع منتجات المطاط واللدائن,264,180,83,13,540
1101,2022,1,Riyadh Region Office,صنع منتجات المعادن اللافلزية الأخرى,895,495,90,21,1501
1102,2022,1,Riyadh Region Office,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),896,453,97,24,1470
1103,2022,1,Riyadh Region Office,صيد الأسماك وتربية المائيات,24,3,1,1,29
1104,2022,1,Riyadh Region Office,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,223,103,15,5,346
1105,2022,1,Qassim Region Office,أبحاث الإعلان والسوق,30,6,0,0,36
1106,2022,1,Qassim Region Office,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,272,39,3,0,314
1107,2022,1,Qassim Region Office,إصلاح وتركيب الآلات والمعدات,90,9,0,0,99
1108,2022,1,Qassim Region Office,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,11,2,0,0,13
1109,2022,1,Qassim Region Office,أنشطة الأمن والتحقيقات,4,4,0,0,8
1110,2022,1,Qassim Region Office,أنشطة الاستخدام,22,10,1,0,33
1111,2022,1,Qassim Region Office,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,8,1,0,0,9
1112,2022,1,Qassim Region Office,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,38,9,0,0,47
1113,2022,1,Qassim Region Office,أنشطة البرمجة والإذاعة,1,0,0,0,1
1114,2022,1,Qassim Region Office,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,3,0,0,0,3
1115,2022,1,Qassim Region Office,أنشطة التشييد المتخصصة,3381,602,86,3,4072
1116,2022,1,Qassim Region Office,أنشطة الخدمات الشخصية الأخرى,1287,127,9,1,1424
1117,2022,1,Qassim Region Office,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,29,2,0,1,32
1118,2022,1,Qassim Region Office,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,56,48,4,0,108
1119,2022,1,Qassim Region Office,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,220,75,9,0,304
1120,2022,1,Qassim Region Office,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,61,17,2,0,80
1121,2022,1,Qassim Region Office,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,22,13,0,0,35
1122,2022,1,Qassim Region Office,أنشطة المنظمات الدولية,2,0,0,0,2
1123,2022,1,Qassim Region Office,أنشطة المنظمات ذات العضوية,34,13,1,0,48
1124,2022,1,Qassim Region Office,أنشطة النشر,17,6,0,0,23
1125,2022,1,Qassim Region Office,أنشطة تقديم الخدمات للمباني وتجميل المواقع,1300,287,48,12,1647
1126,2022,1,Qassim Region Office,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,4,2,0,0,6
1127,2022,1,Qassim Region Office,أنشطة خدمات الأطعمة والمشروبات,2906,902,63,3,3874
1128,2022,1,Qassim Region Office,أنشطة خدمات المعلومات,14,3,0,0,17
1129,2022,1,Qassim Region Office,أنشطة خدمات دعم التعدين,7,2,0,0,9
1130,2022,1,Qassim Region Office,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,920,91,13,6,1030
1131,2022,1,Qassim Region Office,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,31,27,2,0,60
1132,2022,1,Qassim Region Office,الإقامة,91,48,7,1,147
1133,2022,1,Qassim Region Office,الأنشطة الإبداعية والفنون وأنشطة الترفيه,8,3,0,0,11
1134,2022,1,Qassim Region Office,الأنشطة الأخرى للتعدين واستغلال المحاجر,11,1,0,0,12
1135,2022,1,Qassim Region Office,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,69,10,4,0,83
1136,2022,1,Qassim Region Office,الأنشطة الإيجارية,1053,62,5,0,1120
1137,2022,1,Qassim Region Office,الأنشطة البيطرية,10,5,1,0,16
1138,2022,1,Qassim Region Office,الأنشطة الرياضية وأنشطة التسلية والترفيه,71,31,0,0,102
1139,2022,1,Qassim Region Office,الأنشطة العقارية,99,15,0,0,114
1140,2022,1,Qassim Region Office,الأنشطة القانونية وأنشطة المحاسبة,34,1,0,0,35
1141,2022,1,Qassim Region Office,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,1,0,0,0,1
1142,2022,1,Qassim Region Office,الأنشطة المهنية والعلمية والتقنية الأخرى,21,5,0,0,26
1143,2022,1,Qassim Region Office,الاتصالات,81,22,1,0,104
1144,2022,1,Qassim Region Office,البحث والتطوير في المجال العلمي,2,0,0,0,2
1145,2022,1,Qassim Region Office,التخزين وأنشطة الدعم للنقل,108,32,6,0,146
1146,2022,1,Qassim Region Office,التعليم,53,38,18,2,111
1147,2022,1,Qassim Region Office,الحراجة وقطع الأخشاب,4,0,0,0,4
1148,2022,1,Qassim Region Office,الرعاية مع الإقامة,11,5,0,0,16
1149,2022,1,Qassim Region Office,الصحة البشرية,38,82,26,4,150
1150,2022,1,Qassim Region Office,الصرف الصحي,2,1,0,0,3
1151,2022,1,Qassim Region Office,الصناعة التحويلية الأخرى,30,5,0,0,35
1152,2022,1,Qassim Region Office,الطباعة واستنساخ وسائط الأعلام المسجّلة,54,25,1,0,80
1153,2022,1,Qassim Region Office,النقل البري و النقل عبر الأنابيب,838,159,11,2,1010
1154,2022,1,Qassim Region Office,النقل الجوي,11,9,2,2,24
1155,2022,1,Qassim Region Office,النقل المائي,10,1,0,0,11
1156,2022,1,Qassim Region Office,الهندسة المدنية,34,9,5,1,49
1157,2022,1,Qassim Region Office,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3171,658,53,7,3889
1158,2022,1,Qassim Region Office,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,1637,558,60,6,2261
1159,2022,1,Qassim Region Office,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,2142,416,17,2,2577
1160,2022,1,Qassim Region Office,تجميع المياه ومعالجتها وتوصيلها,32,6,0,0,38
1161,2022,1,Qassim Region Office,تشييد المباني,7212,1896,259,40,9407
1162,2022,1,Qassim Region Office,تعدين الفحم والليغنيت,2,0,0,0,2
1163,2022,1,Qassim Region Office,تعدين ركازات الفلزات,40,12,1,0,53
1164,2022,1,Qassim Region Office,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,2,0,0,4
1165,2022,1,Qassim Region Office,توصيل الكهرباء والغاز والبخار وتكييف الهواء,12,3,0,0,15
1166,2022,1,Qassim Region Office,صناعة الآلات والمعدات غير المصنفة في موضع أخر,36,8,2,0,46
1167,2022,1,Qassim Region Office,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,30,6,1,0,37
1168,2022,1,Qassim Region Office,صناعة معدات النقل الأخرى,18,6,0,0,24
1169,2022,1,Qassim Region Office,صنع الأثاث,179,60,7,0,246
1170,2022,1,Qassim Region Office,صنع الحواسيب والمنتجات الإلكترونية والبصرية,54,12,1,0,67
1171,2022,1,Qassim Region Office,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,242,47,4,1,294
1172,2022,1,Qassim Region Office,صنع الفلزات القاعدية,232,40,3,0,275
1173,2022,1,Qassim Region Office,صُنع المشروبات,12,10,3,1,26
1174,2022,1,Qassim Region Office,صنع المعدات الكهربائية,84,15,3,0,102
1175,2022,1,Qassim Region Office,صُنع الملبوسات,540,78,6,1,625
1176,2022,1,Qassim Region Office,صُنع المنتجات الجلدية والمنتجات ذات الصلة,6,1,0,0,7
1177,2022,1,Qassim Region Office,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,3,4,1,0,8
1178,2022,1,Qassim Region Office,صُنع المنتجات الغذائية,378,93,32,5,508
1179,2022,1,Qassim Region Office,صُنع المنسوجات,84,20,1,0,105
1180,2022,1,Qassim Region Office,صُنع المواد الكيميائية والمنتجات الكيميائية,52,16,3,0,71
1181,2022,1,Qassim Region Office,صُنع الورق ومنتجات الورق,6,8,4,0,18
1182,2022,1,Qassim Region Office,صنع فحم الكوك والمنتجات النفطية المكررة,2,0,0,0,2
1183,2022,1,Qassim Region Office,صُنع منتجات التبغ,2,0,0,0,2
1184,2022,1,Qassim Region Office,صنع منتجات المطاط واللدائن,24,21,9,1,55
1185,2022,1,Qassim Region Office,صنع منتجات المعادن اللافلزية الأخرى,144,58,15,3,220
1186,2022,1,Qassim Region Office,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),613,104,8,3,728
1187,2022,1,Qassim Region Office,صيد الأسماك وتربية المائيات,4,1,0,0,5
1188,2022,1,Qassim Region Office,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,38,13,0,0,51
1189,2022,1,Al-Madinah Al-Munawwarah Region Office,أبحاث الإعلان والسوق,37,5,0,0,42
1190,2022,1,Al-Madinah Al-Munawwarah Region Office,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,151,11,0,0,162
1191,2022,1,Al-Madinah Al-Munawwarah Region Office,إصلاح وتركيب الآلات والمعدات,64,6,0,0,70
1192,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,13,2,0,0,15
1193,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة الأمن والتحقيقات,6,2,1,0,9
1194,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة الاستخدام,33,12,0,0,45
1195,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,4,0,0,0,4
1196,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,53,8,0,0,61
1197,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة البرمجة والإذاعة,4,0,0,0,4
1198,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,6,1,0,0,7
1199,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة التشييد المتخصصة,1627,346,11,0,1984
1200,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة الخدمات الشخصية الأخرى,1447,147,3,0,1597
1201,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,27,2,0,0,29
1202,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,64,36,10,0,110
1203,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,84,54,4,1,143
1204,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,59,10,1,0,70
1205,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,65,19,0,0,84
1206,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة المنظمات ذات العضوية,14,5,2,0,21
1207,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة النشر,34,12,0,0,46
1208,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة تقديم الخدمات للمباني وتجميل المواقع,841,220,17,2,1080
1209,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,4,2,0,0,6
1210,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة خدمات الأطعمة والمشروبات,3093,776,39,3,3911
1211,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة خدمات المعلومات,15,5,0,0,20
1212,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة خدمات دعم التعدين,6,8,0,0,14
1213,2022,1,Al-Madinah Al-Munawwarah Region Office,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,470,60,4,0,534
1214,2022,1,Al-Madinah Al-Munawwarah Region Office,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,48,24,2,0,74
1215,2022,1,Al-Madinah Al-Munawwarah Region Office,الإقامة,197,106,31,5,339
1216,2022,1,Al-Madinah Al-Munawwarah Region Office,الأنشطة الإبداعية والفنون وأنشطة الترفيه,3,0,0,0,3
1217,2022,1,Al-Madinah Al-Munawwarah Region Office,الأنشطة الأخرى للتعدين واستغلال المحاجر,19,4,0,0,23
1218,2022,1,Al-Madinah Al-Munawwarah Region Office,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,84,7,0,0,91
1219,2022,1,Al-Madinah Al-Munawwarah Region Office,الأنشطة الإيجارية,671,44,3,0,718
